Raw2,Budgets,h1,h2,Page,h1desc,h2desc,Budgets Mn,Generic Administrations,Maintenances,Projects,Communities,Floods,District Offices,Human Resources,Revenues,Trainings,Public Relations,Welfares,Waste Water Treatments,Hygienic Foods,Non-smoking Zones,Cleanings,Disease Controls,Law Enforcements,Green Zones,Traffic Managements,Chained Tags,Budget Ranks h1desc,Budget Ranks h2desc,Budget Ranks Raw2
01.1กรณีฉุกเฉินหรือจําเปน  ,500000000,0,0,2.0,(01)งบประมาณรายจายงบกลาง เปนจํานวน 14162196831 จําแนกดังนี้ 1.เงินสํารองจายทั่วไป รวม  ,,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,1,2,38
01.2กรณีคาใชจายตาง ๆ เกี่ยวกับน้ําทวม  ,100000000,0,0,2.0,(01)งบประมาณรายจายงบกลาง เปนจํานวน 14162196831 จําแนกดังนี้ 1.เงินสํารองจายทั่วไป รวม  ,,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,1,2,89
01.3กรณีคาใชจายเพื่อการพัฒนากรุงเทพมหานคร  ,550000000,0,0,2.0,(01)งบประมาณรายจายงบกลาง เปนจํานวน 14162196831 จําแนกดังนี้ 1.เงินสํารองจายทั่วไป รวม  ,,550.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,1,2,35
02.เงินชวยเหลือขาราชการและลูกจาง  ,3005300000,0,0,2.0,(01)งบประมาณรายจายงบกลาง เปนจํานวน 14162196831 จําแนกดังนี้ 1.เงินสํารองจายทั่วไป รวม  ,,3005.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,1,2,6
03.เงินบําเหน็จลูกจาง  ,1328000000,0,0,2.0,(01)งบประมาณรายจายงบกลาง เปนจํานวน 14162196831 จําแนกดังนี้ 1.เงินสํารองจายทั่วไป รวม  ,,1328.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,1,2,16
04.คาติดตั้งไฟฟาสาธารณะ  ,100000000,0,0,2.0,(01)งบประมาณรายจายงบกลาง เปนจํานวน 14162196831 จําแนกดังนี้ 1.เงินสํารองจายทั่วไป รวม  ,,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,1,2,89
05.เงินสํารองสําหรับคางานสวนที่เพิ่มตามสัญญาแบบปรับราคาได  ,10000000,0,0,2.0,(01)งบประมาณรายจายงบกลาง เปนจํานวน 14162196831 จําแนกดังนี้ 1.เงินสํารองจายทั่วไป รวม  ,,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,1,2,257
06.เงินสํารองสําหรับคาใชจายเกี่ยวกับบุคลากร  ,50000000,0,0,2.0,(01)งบประมาณรายจายงบกลาง เปนจํานวน 14162196831 จําแนกดังนี้ 1.เงินสํารองจายทั่วไป รวม  ,,50.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All Categories_______Human Resources_____________,1,2,117
07.คาใชจายเกี่ยวกับภารกิจและ หรือนโยบายที่ไดรับมอบจากรัฐบาล  ,3953873331,0,0,2.0,(01)งบประมาณรายจายงบกลาง เปนจํานวน 14162196831 จําแนกดังนี้ 1.เงินสํารองจายทั่วไป รวม  ,,3953.873331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,1,2,4
08.เงินสํารองสําหรับภาระผูกพันที่คางจายตามกฎหมาย  ,1442031500,0,0,2.0,(01)งบประมาณรายจายงบกลาง เปนจํานวน 14162196831 จําแนกดังนี้ 1.เงินสํารองจายทั่วไป รวม  ,,1442.0315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,1,2,15
09.เงินชวยคาครองชีพผูไดรับบํานาญของกรุงเทพมหานคร  ,220000000,0,0,2.0,(01)งบประมาณรายจายงบกลาง เปนจํานวน 14162196831 จําแนกดังนี้ 1.เงินสํารองจายทั่วไป รวม  ,,220.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,1,2,60
10.เงินสํารองสําหรับจายเปนเงินบําเหน็จบํานาญขาราชการ กรุงเทพมหานคร  ,2902992000,0,0,2.0,(01)งบประมาณรายจายงบกลาง เปนจํานวน 14162196831 จําแนกดังนี้ 1.เงินสํารองจายทั่วไป รวม  ,,2902.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,1,2,8
01.ผลผลิตรายจายบุคลากร  ,31409100,0,0,3.0,งบประมาณรายจายของหนวยรับงบประมาณ (2)สํานักงานเลขานุการสภากรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,31.4091,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All Categories_______Human Resources_____________,72,1,5
02.ผลผลิตกิจการสภากรุงเทพมหานคร  ,93499920,0,0,3.0,งบประมาณรายจายของหนวยรับงบประมาณ (2)สํานักงานเลขานุการสภากรุงเทพมหานคร รวม  ,ก.งบประมาณภารกิจประจําพื้นฐาน  ,93.49992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,72,1,94
โครงการบูรณาการการบริหารจัดการ กรุงเทพมหานครรวมกับองคกรปกครองสวนทองถิ่น ในจังหวัดปริมณฑลที่เปนพื้นที่รอยตอ กับกรุงเทพมหานคร  ,400000,0,0,3.0,งบประมาณรายจายของหนวยรับงบประมาณ (2)สํานักงานเลขานุการสภากรุงเทพมหานคร รวม  ,ข.งบประมาณภารกิจตามแผนยุทธศาสตร  ,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories___Projects_________________,72,3,384
งบประมาณภารกิจประจําพื้นฐาน  ,71534800,0,0,3.0,(03)สํานักงานเลขานุการผูวาราชการกรุงเทพมหานคร รวม  ,ข.งบประมาณภารกิจตามแผนยุทธศาสตร  ,71.5348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,71,3,75
01.ผลผลิตรายจายบุคลากร  ,50428500,0,0,3.0,(03)สํานักงานเลขานุการผูวาราชการกรุงเทพมหานคร รวม  ,ข.งบประมาณภารกิจตามแผนยุทธศาสตร  ,50.4285,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,All Categories_______Human Resources_____________,71,3,5
02.ผลผลิตบริหารราชการกรุงเทพมหานคร  ,21106300,0,0,3.0,(03)สํานักงานเลขานุการผูวาราชการกรุงเทพมหานคร รวม  ,ข.งบประมาณภารกิจตามแผนยุทธศาสตร  ,21.1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All Categories____________________,71,3,206
